"occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus_reso","late_interval"
"361734","occurrence",NA,"34269","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","9009;9009","-80.397499","27.638332","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"558980","occurrence",NA,"58089","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","15601;15601","-80.811386","27.830278","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596013","occurrence",NA,"63150","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18185;18185","-83.364441","42.808887","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596643","occurrence",NA,"63216","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18194;18194","-83.258614","42.570831","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596698","occurrence",NA,"63219","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-83.180832","43.268055","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596720","occurrence",NA,"63223","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-84.147224","42.662498","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596762","occurrence",NA,"63232","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-86.465553","42.036388","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596763","occurrence",NA,"63233","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-85.243332","41.861942","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596764","occurrence",NA,"63234","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-84.926109","42.719166","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"596775","occurrence",NA,"63235","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","18196;18196","-83.914169","42.872501","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
