"taxon_name","lng","lat","early_age","late_age","estimated_age","time_index","time_slice","col"
"Mammut_americanum",-85.791115,42.717777,2.588,0.0117,1.29985,3,0.787,"#FFCC00"
"Mammut_americanum",-86.226669,41.992779,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.856392,43.502777,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.361946,43.051109,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.78083,43.285557,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.996941,42.056667,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.1175,41.964169,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.023613,43.271389,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-86.783333,36.183334,0.126,0,0.063,5,0.01585,"#656599"
"Mammut_americanum",-83.676666,42.775833,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.898613,43.155277,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.160004,43.297779,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.419167,41.861389,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.014999,41.905277,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-86.118332,42.193054,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.551392,42.15139,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.460281,42.373333,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.985275,42.975555,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.140556,42.44278,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.716667,43.415279,0.126,0.0117,0.06885,5,0.01585,"#656599"
