"","taxon_name","lng","lat","early_age","late_age","estimated_age","timeSlice"
"1:141","Mammut americanum",-84.65667,43.371666,0.126,0.0117,0.06885,0.01585
"1:142","Mammut americanum",-84.776665,43.415558,0.126,0.0117,0.06885,0.01585
"1:143","Mammut americanum",-84.835556,43.386391,0.126,0.0117,0.06885,0.01585
"1:144","Mammut americanum",-84.410553,41.920277,0.126,0.0117,0.06885,0.01585
"1:145","Mammut americanum",-84.796669,41.890835,0.126,0.0117,0.06885,0.01585
"1:146","Mammut americanum",-83.398888,43.814445,0.126,0.0117,0.06885,0.01585
"1:147","Mammut americanum",-84.110275,42.661388,0.126,0.0117,0.06885,0.01585
"1:148","Mammut americanum",-84.33889,42.313332,0.126,0.0117,0.06885,0.01585
"1:149","Mammut americanum",-84.414169,42.277779,0.126,0.0117,0.06885,0.01585
"1:150","Mammut americanum",-84.41333,42.211109,0.126,0.0117,0.06885,0.01585
"1:151","Mammut americanum",-84.432777,42.225555,0.126,0.0117,0.06885,0.01585
"1:152","Mammut americanum",-85.406113,42.354721,0.126,0.0117,0.06885,0.01585
"1:153","Mammut americanum",-85.307503,42.325832,0.126,0.0117,0.06885,0.01585
"1:154","Mammut americanum",-85.580276,42.325279,0.126,0.0117,0.06885,0.01585
"1:155","Mammut americanum",-85.54361,42.275002,0.126,0.0117,0.06885,0.01585
"1:156","Mammut americanum",-85.340553,42.834721,0.126,0.0117,0.06885,0.01585
"1:157","Mammut americanum",-85.712776,42.775555,0.126,0.0117,0.06885,0.01585
"1:158","Mammut americanum",-85.635559,42.876389,0.126,0.0117,0.06885,0.01585
"1:159","Mammut americanum",-85.666664,43.025002,0.126,0.0117,0.06885,0.01585
"1:160","Mammut americanum",-83.407501,42.917778,0.126,0.0117,0.06885,0.01585
"1:161","Mammut americanum",-83.406387,42.888611,0.126,0.0117,0.06885,0.01585
"1:162","Mammut americanum",-83.253891,43.022778,0.126,0.0117,0.06885,0.01585
"1:163","Mammut americanum",-83.179169,43.31472,0.126,0.0117,0.06885,0.01585
"1:164","Mammut americanum",-83.95472,41.999443,0.126,0.0117,0.06885,0.01585
"1:165","Mammut americanum",-83.879166,42.044445,0.126,0.0117,0.06885,0.01585
"1:166","Mammut americanum",-84.227776,41.878887,0.126,0.0117,0.06885,0.01585
"1:167","Mammut americanum",-84.03389,41.89389,0.126,0.0117,0.06885,0.01585
"1:168","Mammut americanum",-84.176666,41.787498,0.126,0.0117,0.06885,0.01585
"1:169","Mammut americanum",-84.08667,41.734444,0.126,0.0117,0.06885,0.01585
"1:170","Mammut americanum",-83.915833,42.43222,0.126,0.0117,0.06885,0.01585
"1:171","Mammut americanum",-83.698608,42.495277,0.126,0.0117,0.06885,0.01585
